video_id,question_id,question_type,timestamp (s),question,correct_answer
3,1.0,description,2.5,which center is on the left side of the road?,barclays center
11,2.0,description,2.7,what is for sale nearby?,gas is for sale
11,8.1,description,6.5,what special offer is advertised here?,gas sale
11,8.2,description,1.1,what special offer is advertised here?,there are no advertisements here
12,7.0,description,5.5,which street is on my right?,hampshire
13,10.0,description,8.5,what is the cost of the item or service advertised on the sidewalk sign to my left?,3.99
19,2.0,description,2.5,which coffee shop is on the right side of the street?,gregorys coffee
26,8.1,description,6.5,what is the speed limit as i take the exit?,30 mph
26,8.2,description,2.2,what is the speed limit as i take the exit?,there are no speed limit signs here
34,2.0,description,2.2,what is the contact phone number for hercules welding & boiler works inc.?,718 599-1717
34,9.0,description,7.2,during which hours is the bus lane enforced on this street?,6am - 9am and 4pm - 7pm
38,11.0,description,8.5,what are the regulations for parking on this street?,2 hour metered parking
44,4.0,description,4.5,what street am i driving on?,central blvd
44,7.0,description,6.5,what is the speed limit on this road?,40
104,13.0,description,8.8,what services does prospect auto repair offer?,"tune ups, brakes, oil changes"
111,4.1,description,3.8,what is the speed limit on this road?,25 mph
111,4.2,description,1.2,what is the speed limit on this road?,there are no speed limit signs here
116,13.0,description,8.8,what is the name of this street?,e 23rd st
119,6.0,description,5.5,which number plate belongs to this truck?,32-891-68
126,2.0,description,2.2,what is the license plate of the red truck in front of me?,enp 7306
126,5.0,description,3.8,which law enforcement agency do the police vehicles belong to?,nypd police
126,6.0,description,5.5,which highway number is?,678
136,1.0,description,2.2,what is the speed limit on this road?,45 miles per hour
143,14.1,description,8.8,which building am i approaching?,united air lines
143,14.2,description,3.3,which building am i approaching?,the building in front has no name
144,7.0,description,5.5,which bank is located on this street?,garden state community bank
160,9.0,description,7.2,what is the speed limit on this road?,65 mph
161,13.0,description,8.8,what is the brand of the truck in front of me?,morgan
164,3.0,description,0.2,which area i have just entered?,manhattan
169,1.0,description,2.2,what's the contact number for the car in front of us?,718-860-9100
169,4.0,description,3.8,what company name is displayed on the truck directly ahead of me?,baldor
182,1.0,description,2.2,what street am i currently driving on?,2 av
200,7.0,description,5.5,which businesses are on the right side of the road?,chase
206,1.0,description,2.2,which cafe is located on the corner?,lotus cafe
206,14.0,description,8.8,what are the lane restrictions at this intersection?,only turn left from this lane
232,2.0,description,2.2,which state issued the license plate a62.aek on the black suv ahead?,new jersey
232,3.0,description,3.8,what's the special sign on that black car up front?,qx56
232,5.0,description,3.8,which actions are prohibited at this junction?,making any turns
234,7.0,description,5.5,what's the name of the furniture store i passed on the right side of the road?,jennifer furniture
234,9.0,description,7.2,which truck in front of me has an air ride equipped suspension?,the truck with xtra logos
235,2.0,description,2.2,which company is providing the services advertised on the van in front of me?,phone system inc
235,13.0,description,8.8,what company does the ip phone systems van belong to?,ip phone systems
247,1.0,description,2.2,what is the speed limit on this road?,25 mph
255,1.0,description,2.2,what is the speed limit on this road?,25 mph
255,15.0,description,7.8,what's the license plate of the car in front of me?,gml-2889
259,3.0,description,3.8,what is the message on the right of the billboard trying to convey?,it encourages everyone to recycle to help the environment
259,7.0,description,5.5,which street am i  currently on?,atlantic ave
271,4.0,description,3.8,what services does this truck mainly provide?,deliveries
