video_id,question_id,timestamp (s),question_type,question,correct_answer
0479bea8-d221-4c6a-8c91-60108e43fe56,1,10.3,book-related,where is the book titled fables?,the book is being placed on the shelf
049bf126-b6cc-4c6a-b9e5-d724837a6f40,1,21.2,book-related,where can i find additional english language resources?,in the black book titled oxford modern english.
0aad0214-2ef3-478a-b753-dee57ffaaa32,1,14.8,book-related,what words are displayed on the wall?,we can do it!
0d2c12f6-f5b2-4bb1-ad24-a929d87d46b2,1,26.5,book-related,what game are we possibly playing ?,poker
1321ffc8-f18c-4e06-ae2f-31c6b80a16c4,1,16.3,book-related,which book are you reading?,no display
164d8727-9b64-4887-b2ae-f31f2f996b07,1,21.5,book-related,which direction should i go to find light bay?,to the left of the coffee cups
38544feb-25d9-4c87-bcec-846cf9fddca2,1,24.7,book-related,what are the main topics covered under the government budget and the economy section?,objectives of government budget
3ea348a5-7040-4141-a9ab-d3c3c42e8dc0,1,20.5,book-related,what is the title of the chapter?,government budget and the economy
4024a7d8-abf2-4b5e-93f2-a725385eab56,1,15.2,book-related,which book discusses the topic of legal evidence and its impact on verdicts?,evidence that demands a verdict
40ec6dce-672d-481d-a64e-a24529063f72,1,22.3,book-related,which book by iain banks is on the floor near me?,complicity
501e29cd-4026-4872-99ef-c88a3e49fce1,1,26.5,book-related,what is the title of the chapter i am currently reading?,government budget and the economy
5c9ffbe7-8740-4bfc-8dc1-5b547b0116ae,1,24.0,book-related,what subject am i reviewing on the ipad?,accountancy
70276030-3e9a-4cfc-bca1-839c5e37c51a,1,19.2,book-related,what is the final result of the calculation?,145000
7431deab-7cca-4dc6-868d-ffee9997f285,1,29.3,book-related,what motivational phrases are there in the room?,we can do it!
7a7383ba-176b-4e8e-b72c-2ce969c3dc72,1,21.2,book-related,who is the officer mentioned in the paper and what action is he taking professionally?,"abhishek trimukhe, issuing warnings about the police fool play"
7bfebe88-942d-424e-97f9-010940eaf368,1,21.3,book-related,what equation is being solved?,4x = 36000 + x
7f8b90f5-68af-4baa-a26f-f420f39aab78,1,21.3,book-related,what was written on the laptop ?,live
8262a628-c249-4b86-858d-00961663c05c,1,23.5,book-related,what chapter number is the book open to?,chapter 32
8dea8a9c-df89-4a86-946e-12378ec817c0,1,18.3,book-related,where do i place the book titled microwave engineering?,to my left on the floor
93480609-3d0b-4304-83a3-b8b95cc7f685,1,21.3,book-related,which illustrator's work is being looked up on the tablet?,tania samoshkina
93c33de2-3003-4dd0-817e-8aada9e62531,1,21.2,book-related,which book was recommended for improving spelling skills?,"tekamer, english spelling"
9422a7b8-152b-4299-9c2b-2cf9f91b6efe,1,21.2,book-related,"which book on the shelf has the title david baldacci written on the spine, and what genre does it belong to?","david baldacci, it belongs to the mystery genre"
9b9b04a7-dfd3-426f-820d-2991892b5379,1,81.5,book-related,what is the document i am holding?,amy b stitched
9bdb8163-893d-4f95-97f2-8aaef4631e95,1,17.3,book-related,where can i find the definition of pdd in this book?,attached to a sticky note on the top left corner of a book page
a543c599-d62a-4a7a-9c6a-0926a98f75fa,1,26.5,book-related,which chapter in the book am i reading?,chapter government budget and the economy
a748b505-873a-422a-b4eb-5d29baa1b467,1,21.2,book-related,what words are written on the cover?,words are different when they have you
a84ce809-5f35-4f47-a391-1e68c5d1866d,1,23.3,book-related,what is the title of the book placed on the top of the stack?,the quarry
ab8570ba-6c88-45b2-9fb5-03f6cd149a78,1,22.0,book-related,which book do i start reading?,the islands of the blessed
aca97c75-06c4-430f-9efe-7ccb1f7bf780,1,21.0,book-related,what are the three phases of 'phases of trade cycles'?,"depression, recovery, boom"
b26e582c-8bd5-42dd-ba46-448470b8a91c,1,21.0,book-related,where can i find the instructions for using the тренажер exercise book?,inside the first page of the booklet
b7c510a5-3e01-4581-b1ca-9b2798426e02,1,21.0,book-related,what is the title of the book on the desk?,double entry note system
b7e79c2f-258c-42e2-87cd-5237bc71040d,1,22.0,book-related,what's the title of the reference book on the desk?,accounting
badca629-9d3a-4e30-903a-dbc6ea65a7e8,1,18.3,book-related,what other books should i look for on electrical engineering topics?,look for books on circuit analysis and signal processing
bd2a9fd1-7d4b-49ee-b3bf-4e7db9a805f2,1,19.0,book-related,which book is titled swami vivekananda?,the one on the floor with a mountain image
bf6af69c-6a69-44f9-8530-4a7f54359d14,1,22.7,book-related,what's the title of the black book i was holding？,joke book
c94ea4e2-4a2b-45f9-a20a-9a1f70c92e34,1,18.8,book-related,where is the indian constitutional documents?,on the lowest level of the cabinet
cf10c285-26f5-4919-bd6b-b7b86f4db05a,1,22.3,book-related,which book by iain banks am i looking at right now?,complicity
d60a82c2-814d-459f-94a6-bc9e324464ff,1,17.0,book-related,which book should i refer to for english literature and terminology?,oxford companion to english
dc02f23a-fa63-4522-952c-18dcbee546e2,1,19.2,book-related,where do i place the magazine with the title vikings?,on the smaller table
0479bea8-d221-4c6a-8c91-60108e43fe56,2,10.3,book-related,which book is being held alongside with these hands？,a red and black book
0d2c12f6-f5b2-4bb1-ad24-a929d87d46b2,2,26.5,book-related,which book on the table is relevant to past events and civilizations?,history world
0e0626d1-f9f4-4c05-8515-544afc95a7b2,2,54.7,book-related,what is the title of the book with the image of a ship on its cover?,around the world with ridgway
13e20734-cac8-492a-a70a-3d2bf598d21a,2,27.8,book-related,which book should i refer to for historical information?,the history of the world
1b15c8be-bc25-4fa9-8c8a-3cdfa35f5a1c,2,24.0,book-related,what's that book on the desk about?,introductory macro economics
1b642806-c7ee-4948-a0e7-6d575ea2a757,2,20.3,book-related,how many books titled greek heritage i have on the shelf?,two
22554507-48de-46df-b9f1-0e37fdf557f9,2,18.8,book-related,which book is related to law?,indian constitutional documents
2936e284-d937-4b68-bf69-5abbdbfa5295,2,14.8,book-related,which color is the item labeled core？,yellow
2aa59fb1-a4a8-4d75-a2f6-88f8a06c0dea,2,18.7,book-related,how can the poster inspire me as i work on my project today?,it reminds me of my ability to succeed
317012fc-7c0f-4d73-ac4b-160617d7b177,2,21.0,book-related,which section contains information on the impact of government budgets on the economy?,section iv
